ID,Start_Time,Road_Condition,Weather_Condition,Start_Lat,Start_Lng
1,2024-10-01 08:15:00,Wet,Rain,34.0522,-118.2437
2,2024-10-01 12:30:00,Dry,Clear,36.1699,-115.1398
3,2024-10-01 19:45:00,Dry,Fog,40.7128,-74.006
4,2024-10-01 23:00:00,Snow,Snow,39.7392,-104.9903
5,2024-10-02 06:20:00,Wet,Rain,37.7749,-122.4194
6,2024-10-02 14:10:00,Dry,Clear,41.8781,-87.6298
7,2024-10-02 21:35:00,Dry,Clear,34.0522,-118.2437
8,2024-10-02 05:50:00,Dry,Clear,29.7604,-95.3698
9,2024-10-03 16:25:00,Wet,Clear,33.4484,-112.074
10,2024-10-03 10:40:00,Snow,Fog,39.7392,-104.9903
